"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 11 22:27:11 CDT 2022","Tue Oct 11 22:27:13 CDT 2022","1659","","eCommerce","","eCommerce","patch_editar_usuario_200","Test case: Editar usuario",""
"passed","Tue Oct 11 22:27:09 CDT 2022","Tue Oct 11 22:27:11 CDT 2022","1981","","eCommerce","","eCommerce","post_crear_Alerta_200","Test case: Crear alerta",""
"passed","Tue Oct 11 22:27:28 CDT 2022","Tue Oct 11 22:27:36 CDT 2022","7930","","eCommerce","","eCommerce","put_editar_ununcio_200","Test case: Editar anuncio",""
"passed","Tue Oct 11 22:27:20 CDT 2022","Tue Oct 11 22:27:23 CDT 2022","3046","","eCommerce","","eCommerce","delete_eliminar_alerta_200","Test case: Eliminar alerta",""
"passed","Tue Oct 11 22:27:05 CDT 2022","Tue Oct 11 22:27:05 CDT 2022","527","","eCommerce","","eCommerce","get_obtenerCategorias_200","Test case: Obtener categorias",""
"passed","Tue Oct 11 22:27:23 CDT 2022","Tue Oct 11 22:27:24 CDT 2022","916","","eCommerce","","eCommerce","post_crearUsuario_401","Test case: Crear usuario",""
"passed","Tue Oct 11 22:27:36 CDT 2022","Tue Oct 11 22:27:37 CDT 2022","1420","","eCommerce","","eCommerce","post_recuperar_contraseña_200","Test case: Recuperar contraseña",""
"passed","Tue Oct 11 22:27:26 CDT 2022","Tue Oct 11 22:27:28 CDT 2022","1867","","eCommerce","","eCommerce","delete_quitar_favoritos_200","Test case: Quitar favoritos",""
"passed","Tue Oct 11 22:27:37 CDT 2022","Tue Oct 11 22:27:39 CDT 2022","1799","","eCommerce","","eCommerce","patch_editar_Direccion_200","Test case: Editar dirección",""
"failed","Mon Oct 10 19:31:00 CDT 2022","Mon Oct 10 19:31:08 CDT 2022","7877","","eCommerce","","eCommerce","delete_eliminar_ununcio_200","delete_eliminar_ununcio_200()",""
"passed","Tue Oct 11 22:26:53 CDT 2022","Tue Oct 11 22:27:05 CDT 2022","11515","","eCommerce","","eCommerce","get_consultar_alerta_200","Test case: Consultar alerta",""
"passed","Tue Oct 11 22:27:13 CDT 2022","Tue Oct 11 22:27:17 CDT 2022","4795","","eCommerce","","eCommerce","post_Crear_ununcio_200","Test case: Crear anuncio",""
"passed","Tue Oct 11 22:27:25 CDT 2022","Tue Oct 11 22:27:26 CDT 2022","1209","","eCommerce","","eCommerce","post_CrearUnaDireccion_201","Test case: Crear dirección",""
"passed","Tue Oct 11 22:27:24 CDT 2022","Tue Oct 11 22:27:25 CDT 2022","1214","","eCommerce","","eCommerce","post_ObtenerUsuario_200","Test case: Obtener Usuario",""
"failed","Tue Oct 11 22:22:24 CDT 2022","Tue Oct 11 22:22:30 CDT 2022","5751","","eCommerce","","eCommerce","post_generar_nuevaContraseña_200","post_generar_nuevaContraseña_200()",""
"passed","Tue Oct 11 22:27:05 CDT 2022","Tue Oct 11 22:27:09 CDT 2022","3600","","eCommerce","","eCommerce","delete_eliminar_Direccion_200","Test case: Eliminar dirección",""
"passed","Tue Oct 11 22:27:18 CDT 2022","Tue Oct 11 22:27:20 CDT 2022","2161","","eCommerce","","eCommerce","post_guardar_favoritos_200","Test case: Guardar favoritos",""
